Pressure (MPa),Temperature (°C),Specific Volume (m³/kg),Enthalpy (kJ/kg),Entropy (kJ/kg·K),Internal Energy (kJ/kg),Viscosity (μPa·s),Thermal Conductivity (mW/m·K),Density (kg/m³),Prandtl Number (dimensionless)
0.01,166.27777777777777,20.266296891339405,2814.347439857313,8.76182134201031,2611.6844709439188,14.888252975434364,29.996059814333908,0.04934300555062626,956.4075093500725
0.01,170.05454545454543,20.440988418700968,2821.6282161036206,8.778319301213067,2617.218331916611,15.038055368392067,30.34483730910306,0.048921313368835144,955.783433802392
0.01,173.83131313131312,20.615663611216586,2828.915582960754,8.794692075069184,2622.758946848588,15.188179831511572,30.695475755362082,0.048506806225530344,955.1698906901319
0.01,177.60808080808079,20.790323424896552,2836.2096673886,8.810942053083675,2628.3064331396345,15.338614540129866,31.04795903067352,0.04809929983111726,954.5659481342618
0.01,181.38484848484848,20.96496874546773,2843.510588977324,8.827071548665188,2633.8609015226466,15.489348026792024,31.40227113189522,0.04769861630326461,953.9707658487519
0.01,185.16161616161614,21.139600394462665,2850.818460500297,8.843082802856316,2639.4224565556706,15.640369166045097,31.758396180700927,0.04730458387765652,953.3835860977929
0.01,188.93838383838383,21.314219134711724,2858.1333884173837,8.85897798780296,2644.9911970702665,15.791667160140658,32.11631842819831,0.046917036635483814,952.8037256395758
0.01,192.7151515151515,21.488825675302973,2865.4554733339796,8.874759209987149,2650.5672165809497,15.943231525577358,32.47602225874916,0.046535814246438614,952.2305685381237
0.01,196.49191919191918,21.66342067606669,2872.7848104205023,8.890428513244709,2656.1506036598357,16.095052080420995,32.83749219308454,0.04616076172609157,951.6635597399758
0.01,200.26868686868684,21.838004751634806,2880.1214897964705,8.905987881587027,2661.741442280123,16.247118932344936,33.20071289079749,0.04579172920663182,951.1021993256894
0.01,204.04545454545453,22.012578475119973,2887.465596882823,8.92143924184385,2667.3398121316236,16.39942246733881,33.56566915228653,0.04542857172004016,950.5460373575384
0.01,207.8222222222222,22.187142381453523,2894.8172127256876,8.936784466142333,2672.9457889111527,16.551953339037574,33.932345920214836,0.045071148992846914,949.9946692546094
0.01,211.59898989898988,22.361696970417483,2902.1764142944294,8.952025374235838,2678.5594445902548,16.70470245862739,34.3007282805432,0.04471932525169759,949.4477316350691
0.01,215.37575757575755,22.536242709401787,2909.5432747565005,8.96716373569469,2684.1808476624824,16.857660985288167,34.670801463187686,0.04437296903901442,948.9048985727868
0.01,219.15252525252524,22.710780035914134,2916.917863731284,8.982201271969751,2689.810063372142,17.010820317135874,35.04255084234813,0.04403195303810043,948.3658782219283
0.01,222.9292929292929,22.885309359867282,2924.3002475249277,8.997139658338648,2695.4471539262554,17.164172082630966,35.41596193654755,0.0436961539070844,947.8304097687897
0.01,226.7060606060606,23.05983106566576,2931.6904893478827,9.011980525743484,2701.092178691225,17.31770813242182,35.7910204084191,0.043365452121152774,947.2982606750078
0.01,230.48282828282825,23.234345514111443,2939.0886495167415,9.026725462528049,2706.7451943756264,17.47142053159437,36.16771206427195,0.04303973182255757,946.7692241805714
0.01,234.25959595959594,23.408853044145577,2946.494785641693,9.041376016081745,2712.406255200238,17.62530155230183,36.54602285346546,0.04271888067792772,946.2431170387928
0.01,238.0363636363636,23.58335397444293,2953.9089528009104,9.055933694396819,2718.075413056481,17.779343666749963,36.92593886761613,0.042402789742446774,945.719777458665
0.01,241.8131313131313,23.757848604871995,2961.3312037028927,9.070399967544857,2723.752717654173,17.933539540515543,37.30744633966058,0.04209135333049185,945.1990632328974
0.01,245.58989898989898,23.932337217833954,2968.7615888378123,9.08477626907803,2729.438216659473,18.08788202617722,37.69053164279425,0.04178446889235781,944.680850032415
0.01,249.36666666666665,24.10682007949148,2976.200156618702,9.099063997360016,2735.131955823787,18.242364157239535,38.07518128930345,0.04148203689671767,944.1650298503431
0.01,253.14343434343434,24.281297440897657,2983.646953513311,9.113264516831181,2740.833979104335,18.396979142332395,38.461381929307166,0.04118396071849408,943.6515095803793
0.01,256.92020202020205,24.455769539034137,2991.1020241673314,9.127379159212186,2746.5443287769904,18.551720359669453,38.84912034942191,0.04089014653183939,943.1402097162162
0.01,260.6969696969697,24.630236597766526,2998.565411519634,9.141409224649857,2752.263045541968,18.706581351750124,39.238383471362624,0.040600503207942396,942.6310631601198
0.01,264.4737373737374,24.80469882872469,3006.037156910099,9.15535598280885,2757.990168622852,18.861555820291105,39.62915835049065,0.040314942217398175,942.1240141301151
0.01,268.25050505050507,24.97915643211427,3013.517300180591,9.169220673912356,2763.725735859448,19.016637621374098,40.02143217431796,0.04003337753689541,941.6190171563899
0.01,272.02727272727276,25.153609597465877,3021.0058797695115,9.183004509734856,2769.469783794853,19.171820760797594,40.41519226097715,0.039755725559990636,941.1160361585366
0.01,275.8040404040404,25.328058504326876,3028.5029328004107,9.1967086745497,2775.222347757142,19.327099389621274,40.81042605766429,0.03948190501175472,940.6150435961686
0.01,279.5808080808081,25.502503322901116,3036.0084951650247,9.210334326034152,2780.9834619360136,19.48246779989234,41.20712113906153,0.03921183686708925,940.1160196862443
0.01,283.3575757575758,25.676944214640844,3043.522601601112,9.223882596134134,2786.753159454704,19.637920420543914,41.60526520574553,0.0389454442725239,939.6189516811281
0.01,287.13434343434346,25.851381332794773,3051.0452857654163,9.237354591891117,2792.531472437469,19.79345181345631,42.004846082586845,0.038682652471317316,939.1238332020616
0.01,290.9111111111111,26.02581482291616,3058.57658030207,9.250751396233023,2798.3184320729088,19.94905666967244,42.40585171714494,0.038423388731694326,938.6306636232441
0.01,294.6878787878788,26.200244823334074,3066.1165169066967,9.264074068731214,2804.114068673356,20.104729805759355,42.808270178062955,0.0381675822780631,938.1394475022413
0.01,298.4646464646465,26.374671465590822,3073.6651263865,9.277323646325263,2809.9184117305917,20.26046616030839,43.21208965346559,0.03791516422506455,937.6501940528535
0.01,302.24141414141417,26.549094874848457,3081.222438716543,9.290501144017325,2815.7314899680587,20.416260790566753,43.61729844936331,0.03766606751431514,937.1629166569693
0.01,306.0181818181818,26.72351517026673,3088.7884830924677,9.30360755553752,2821.553331389801,20.572108869194153,44.02388498806579,0.037420226853712185,936.6776324122745
0.01,309.7949494949495,26.897932465354664,3096.363287979847,9.316643853981946,2827.3839633263,20.72800568113796,44.43183780660634,0.03717757865917872,936.194361712987
0.01,313.5717171717172,27.072346868298137,3103.9468811603488,9.329610992424657,2833.2234124773677,20.883946620621412,44.841145555179885,0.036938060998730975,935.7131278610674
0.01,317.3484848484849,27.246758482265044,3111.5392897749157,9.342509904504892,2839.071704952265,21.03992718823911,45.25179699559618,0.03670161353875917,935.2339567055745
0.01,321.1252525252525,27.42116740568992,3119.1405403640924,9.3553415049908,2844.928866307193,21.19594298815495,45.6637809997492,0.036468177492417736,934.7568763080925
0.01,324.9020202020202,27.595573732539556,3126.7506589056934,9.368106690320833,2850.7949215802973,21.35198972539746,46.0770865481047,0.03623769557002692,934.2819166322943
0.01,328.6787878787879,27.769977552561148,3134.369670849914,9.380806339123838,2856.669895324302,21.508063203248074,46.491702728206334,0.03601011193139307,933.8091092559263
0.01,332.4555555555556,27.94437895151413,3141.997601152062,9.393441312718958,2862.553811636921,21.664159320718156,46.907618733201765,0.03578537213996006,933.3384871036186
0.01,336.2323232323232,28.118778011387004,3149.634474303009,9.406012455596201,2868.4466941891387,21.820274070110564,47.32482386038883,0.035563423118708755,932.8700841990845
0.01,340.0090909090909,28.29317481060038,3157.280314357489,9.418520595878677,2874.348566251485,21.976403534662257,47.743307509783165,0.03534421310772582,932.4039354353812
0.01,343.7858585858586,28.467569424196977,3164.9351449603737,9.430966545767332,2880.259450718404,22.132543886263957,48.163059182706746,0.03512769162336761,931.9400763620163
0.01,347.5626262626263,28.641961924019768,3172.59898937101,9.443351101968988,2886.1793701308125,22.28869138325397,48.58406848039857,0.034913809418948304,931.4785429878003
0.01,351.3393939393939,28.81635237887902,3180.271870485734,9.455675046108475,2892.108346696944,22.444842368282547,49.006325102647175,0.034702518446885426,931.0193715984043
0.01,355.1161616161616,28.990740854709045,3187.9538108586635,9.467939145125563,2898.0464023115733,22.600993266244046,49.42981884644525,0.034493771822239144,930.5625985876866
0.01,358.8929292929293,29.16512741471537,3195.644832720842,9.480144151657422,2903.9935585736876,22.757140582273948,49.8545396046667,0.03428752378758498,930.1082603019191
0.01,362.669696969697,29.339512119512978,3203.3449579978374,9.492290804407231,2909.949836802708,22.913280899807983,50.280477364765474,0.03408372967916276,929.6563928960999
0.01,366.4464646464647,29.51389502725633,3211.0542083258842,9.504379828499571,2915.915258053322,23.06941087870098,50.70762220749715,0.03388234589424716,929.2070322016084
0.01,370.2232323232323,29.68827619376161,3218.7726050666224,9.516411935823212,2921.8898431290067,23.225527253402714,51.13596430566209,0.03368332985968817,928.760213604504
